species_id,common_name,scientific_name
qchr_gshwk,Queen Charlotte Goshawk,Accipiter gentilis laingi
rb_sapsckr,Red-breasted Sapsucker,Sphyrapicus ruber
rdtht_loon,Red-throated Loon,Gavia stellata
red_crsbil,Red Crossbill,Loxia curvirostra
red_knot,Red Knot,Calidris canutus
red_phlrop,Red Phalarope,Phalaropus fulicarius
rf_cormrnt,Red-faced Cormorant,Phalacrocorax urile
rl_kitiwak,Red-legged Kittiwake,Rissa brevirostris
rn_grebe,Red-necked Grebe,Podiceps grisegena
rn_phalrop,Red-necked Phalarope,Phalaropus lobatus
ro_sndpipr,Rock Sandpiper,Calidris ptilocnemis
ru_blckbrd,Rusty Blackbird,Euphagus carolinus
rubcr_king,Ruby-crowned Kinglet,Corthylio calendula
ruf_humbrd,Rufous Hummingbird,Selasphorus rufus
ruflg_hawk,Rough-legged Hawk,Buteo lagopus
rw_blakbrd,Red-winged Blackbird,Agelaius phoeniceus
sanderling,Sanderling,Calidris alba
sav_sparow,Savannah Sparrow,Passerculus sandwichensis
sb_dowichr,Short-billed Dowitcher,Limnodromus griseus
se_sndpipr,Semipalmated Sandpiper,Calidris pusilla
shtear_owl,Short-eared Owl,Asio flammeus
sm_longspr,Smith's Longspur,Calcarius pictus
sng_sparow,Song Sparrow,Melospiza melodia
sno_buntng,Snow Bunting,Plectrophenax nivalis
snowy_owl,Snowy Owl,Bubo scandiacus
so_sndpipr,Solitary Sandpiper,Tringa solitaria
sp_sndpipr,Spotted Sandpiper,Actitis macularius
spec_eider,Spectacled Eider,Somateria fischeri
stel_eider,Steller's Eider,Polysticta stelleri
stelar_jay,Steller's Jay,Cyanocitta stelleri
surfbird,Surfbird,Calidris virgata
swn_thrush,Swainson's Thrush,Catharus ustulatus
tft_puffin,Tufted Puffin,Fratercula cirrhata
thbi_murre,Thick-billed Murre,Uria lomvia
to_warbler,Townsend's Warbler,Setophaga townsendi
tre_sparow,American Tree Sparrow,Spizelloides arborea
tree_swalo,Tree Swallow,Tachycineta bicolor
trmpt_swan,Trumpeter Swan,Cygnus buccinator
upld_sandp,Upland Sandpiper,Bartramia longicauda
var_thrush,Varied Thrush,Ixoreus naevius
w_scrchowl,Western Screech Owl,Megascops kennicottii
wandr_tatt,Wandering Tattler,Tringa incana
wc_sparrow,White-crowned Sparrow,Zonotrichia leucophrys
we_sndpipr,Western Sandpiper,Calidris mauri
whimbrel,Whimbrel,Numenius phaeopus
wlsn_wrblr,Wilson's Warbler,Cardellina pusilla
woodpeewee,Western Wood Pewee,Contopus sordidulus
wsk_auklet,Whiskered Auklet,Aethia pygmaea
ww_scoter,White-winged Scoter,Melanitta deglandi
ye_warbler,Yellow Warbler,Setophaga petechia
yelobil_ln,Yellow-billed Loon,Gavia adamsii
yelothroat,Common Yellowthroat,Geothlypis trichas
